customer_id,customer_name,district,customer_type,phone,registration_date
C0001,Customer 1,Darbhanga,Farmer,9395310485,2022-09-08
C0002,Customer 2,Gopalganj,Dealer,9826600539,2024-01-29
C0003,Customer 3,Vaishali,Farmer,9553035110,2022-02-02
C0004,Customer 4,Gopalganj,Farmer,9642621108,2023-09-09
C0005,Customer 5,Gopalganj,Farmer,9797808098,2023-12-20
C0006,Customer 6,Patna,Farmer,9732719211,2022-10-12
C0007,Customer 7,West Champaran,Farmer,9965241839,2022-06-13
C0008,Customer 8,Samastipur,Farmer,9266944844,2022-08-09
C0009,Customer 9,Purnia,Farmer,9199585092,2023-01-25
C0010,Customer 10,Gopalganj,Dealer,9748245888,2022-09-28
C0011,Customer 11,West Champaran,Dealer,9675770529,2022-05-08
C0012,Customer 12,Purnia,Farmer,9692749116,2022-10-28
C0013,Customer 13,West Champaran,Farmer,9488302652,2023-08-15
C0014,Customer 14,Gopalganj,Farmer,9810026086,2022-08-22
C0015,Customer 15,East Champaran,Cooperative,9349957310,2024-06-06
C0016,Customer 16,Gopalganj,Farmer,9782560971,2024-05-04
C0017,Customer 17,Chapra (Saran),Farmer,9324956459,2023-11-18
C0018,Customer 18,Siwan,Cooperative,9795822698,2022-03-15
C0019,Customer 19,Darbhanga,Farmer,9882893941,2022-09-08
C0020,Customer 20,Gopalganj,Farmer,9787194506,2023-12-06
C0021,Customer 21,Patna,Farmer,9924970419,2024-03-05
C0022,Customer 22,Gopalganj,Dealer,9964411347,2022-11-20
C0023,Customer 23,Chapra (Saran),Farmer,9709004943,2024-06-16
C0024,Customer 24,Madhubani,Farmer,9636045484,2023-02-10
C0025,Customer 25,Vaishali,Farmer,9253407200,2022-09-29
C0026,Customer 26,Gopalganj,Dealer,9678722458,2022-09-27
C0027,Customer 27,Madhubani,Farmer,9726563708,2023-02-13
C0028,Customer 28,Chapra (Saran),Cooperative,9248532577,2023-06-06
C0029,Customer 29,Muzaffarpur,Dealer,9217734861,2022-06-06
C0030,Customer 30,Darbhanga,Dealer,9553290810,2023-09-03
C0031,Customer 31,Gopalganj,Farmer,9602564736,2023-06-26
C0032,Customer 32,Siwan,Farmer,9112327652,2023-11-28
C0033,Customer 33,Madhubani,Farmer,9676567501,2024-02-08
C0034,Customer 34,Siwan,Farmer,9219778234,2022-10-28
C0035,Customer 35,Chapra (Saran),Farmer,9875340444,2024-06-15
C0036,Customer 36,Madhubani,Cooperative,9918150683,2022-07-02
C0037,Customer 37,Muzaffarpur,Farmer,9771410971,2022-11-02
C0038,Customer 38,Sitamarhi,Farmer,9313579170,2022-06-06
C0039,Customer 39,Chapra (Saran),Farmer,9936043811,2023-06-28
C0040,Customer 40,Begusarai,Farmer,9624636385,2022-01-20
C0041,Customer 41,Gopalganj,Farmer,9992994062,2024-04-06
C0042,Customer 42,Siwan,Farmer,9709194872,2022-03-22
C0043,Customer 43,Gopalganj,Farmer,9174316370,2024-02-18
C0044,Customer 44,Patna,Farmer,9808402051,2023-05-02
C0045,Customer 45,Bhagalpur,Farmer,9666585408,2024-06-12
C0046,Customer 46,Darbhanga,Cooperative,9679064766,2024-02-13
C0047,Customer 47,Madhubani,Farmer,9434702822,2023-02-13
C0048,Customer 48,Araria,Farmer,9570406376,2023-06-14
C0049,Customer 49,Muzaffarpur,Farmer,9168747287,2022-12-13
C0050,Customer 50,Gopalganj,Farmer,9731832764,2022-08-14
C0051,Customer 51,Gopalganj,Farmer,9163215224,2022-08-23
C0052,Customer 52,Gopalganj,Farmer,9454794895,2022-03-14
C0053,Customer 53,Muzaffarpur,Farmer,9621209849,2022-08-08
C0054,Customer 54,Patna,Dealer,9713152854,2023-08-14
C0055,Customer 55,Muzaffarpur,Dealer,9967043303,2023-02-21
C0056,Customer 56,Gopalganj,Farmer,9562837684,2022-12-29
C0057,Customer 57,Chapra (Saran),Farmer,9882839238,2022-02-25
C0058,Customer 58,Samastipur,Cooperative,9205675387,2022-03-04
C0059,Customer 59,Chapra (Saran),Farmer,9217326729,2022-09-12
C0060,Customer 60,Gopalganj,Farmer,9250519597,2023-03-09
C0061,Customer 61,Gopalganj,Farmer,9180943908,2023-03-30
C0062,Customer 62,West Champaran,Dealer,9205128697,2022-02-21
C0063,Customer 63,Darbhanga,Farmer,9115846122,2022-04-06
C0064,Customer 64,Begusarai,Dealer,9278575192,2023-02-21
C0065,Customer 65,Muzaffarpur,Farmer,9530613729,2022-03-02
C0066,Customer 66,Gopalganj,Farmer,9519212169,2022-09-29
C0067,Customer 67,Begusarai,Dealer,9406284028,2023-03-10
C0068,Customer 68,Samastipur,Dealer,9941128035,2023-07-24
C0069,Customer 69,Samastipur,Farmer,9303901283,2022-10-31
C0070,Customer 70,Gopalganj,Farmer,9889991777,2023-07-10
